unvocalized,vocalized,jamid,root
أمكن,أمْكَنَ,0,ءمم
استحال,اِسْتَحَالَ,0,
زها,زَهَا,0,زهو
بئس,بِئْسَ,1,
أغمى,أَغْمَى,0,غمي
سقط,سَقَطَ,1,سقط
نعم,نِعْمَ,0,
وهب,وَهَبَ,0,
انبغى,اِنْبَغَى,0,بغي
برح,بَرِحَ,0,برح
انفك,اِنْفَكَّ,0,نفي
تعالى,تَعَالَى,0,علو
فتئ,فَتِئَ,0,فتء
ودع,وَدَعَ,0,ودع
وذر,وَذَرَ,0,وذر
أوشك,أَوْشَكَ,0,
رام,رَامَ,0,رمي
زال,زَالَ,0,
كاد,كَادَ,0,
ليس,لَيْسَ,0,
عيا,عَيَّا,0,عيي
زيا,زَيَّا,0,وزي
حيا,حَيَّا,0,وحي
تحتم,تَحَتَّمَ,0,توح
أحيا,أَحْيَا,0,حيي
أعيا,أَعْيَا,0,عيي
تحيا,تَحَيَّا,0,وحي
تزيا,تَزَيَّا,0,وزي
استعيا,اِسْتَعْيَا,0,عيي
استحيا,اِسْتَحْيَا,0,حيي
عسى,عَسَى,0,
حيي,حَيِيَ,1,حيي
عيي,عَيِيَ,0,عيي
آوى,آوَى,0,ءوي
حلك,حَلَكَ,0,حلو
بخر,بَخِرَ,0,بخر
حبس,حَبَسَ,1,حبس
تلد,تَلِدَ,0,تلد
حصد,حَصِدَ,0,حصد
خبر,خَبِرَ,0,خبر
نجع,نَجَعَ,0,نجع
حلف,حَلَفَ,0,حلف
عصم,عَصَمَ,1,عصم
كسل,كَسِلَ,0,كسل
هشم,هَشَمَ,0,هشم
بهج,بَهِجَ,0,بهج
كسح,كَسِحَ,0,كسح
بله,بَلِهَ,0,
كثم,كَثَمَ,0,كثم
حقد,حَقِدَ,0,حقد
حكر,حَكِرَ,0,حكر
محك,مَحِكَ,1,ميح
فرش,فَرَشَ,0,فرش
حفن,حَفَنَ,0,حفف
خبص,خَبَصَ,0,خبص
طرب,طَرِبَ,0,طرب
خرع,خَرَعَ,0,خرع
ختن,خَتَنَ,0,ختت
فهم,فَهِمَ,0,
نكب,نَكِبَ,0,نكب
خدش,خَدَشَ,0,خدش
حمق,حَمِقَ,0,حمق
جدع,جَدِعَ,0,جدع
رهص,رَهَصَ,0,رهص
خجل,خَجِلَ,0,خجل
خدر,خَدِرَ,0,خدر
عقل,عَقَلَ,0,عقل
حشك,حَشَكَ,0,حشي
حفز,حَفَزَ,0,حفز
حفص,حَفَصَ,0,حفص
دسع,دَسَعَ,0,دسع
حشم,حَشَمَ,0,حشم
مهن,مَهَنَ,0,مهه
حفر,حَفَرَ,0,حفر
كسح,كَسَحَ,0,كسح
خمر,خَمِرَ,1,خمر
شبح,شَبَحَ,0,شبح
حطم,حَطَمَ,0,حطم
نزق,نَزِقَ,0,نزق
خبل,خَبِلَ,0,خبل
سلط,سَلِطَ,0,سلط
برم,بَرِمَ,1,برم
بصر,بَصِرَ,0,بصر
غفر,غَفَرَ,0,غفر
جرس,جَرَسَ,0,جرس
بسم,بَسَمَ,1,بسم
عرك,عَرِكَ,0,عري
خلق,خَلِقَ,0,خلق
صلع,صَلِعَ,0,صلع
زهر,زَهَرَ,1,زهر
تفل,تَفَلَ,0,فلي
نكز,نَكِزَ,0,نكز
